City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
443,pelabuhanratu,-6.9875,106.5514,26.69,88,81,2.82,ID,1683974312
444,bathurst,-33.4166,149.5806,11.01,90,93,1.53,AU,1683974313
445,sierra grande,-41.606,-65.3557,13.27,72,100,0.89,AR,1683974315
446,mahmudabad,27.3,81.1167,41.62,6,0,3.24,IN,1683974316
447,mandera,3.9366,41.867,32.95,43,94,5.92,KE,1683974317
448,abashiri,44.0213,144.2697,14.16,41,0,5.14,JP,1683974318
449,san pedro,14.35,121.0167,30.75,71,20,4.63,PH,1683974319
450,argo,37.6333,22.7333,19.32,53,74,2.45,GR,1683974320
451,kincardine,56.0667,-3.7167,15.99,85,94,1.61,GB,1683974321
452,upington,-28.4478,21.2561,20.21,40,0,4.12,ZA,1683974323
453,xinyuan,37.3,99.0,8.43,26,4,2.99,CN,1683974324
454,ranau,5.9538,116.6641,22.75,97,70,0.69,MY,1683974325
455,ambalangoda,6.2355,80.0538,28.36,83,94,6.33,LK,1683974326
456,natal,-5.795,-35.2094,26.12,94,75,1.54,BR,1683974327
457,khandallah,-41.2467,174.7906,10.22,93,40,2.57,NZ,1683974329
458,yongchuan,29.3514,105.8947,23.35,63,100,1.09,CN,1683974331
459,nar'yan-mar,67.6713,53.087,0.25,87,89,6.18,RU,1683974332
460,salalah,17.0151,54.0924,32.05,62,20,6.69,OM,1683974333
461,chernyshevsk,52.5243,117.0174,9.48,79,100,4.22,RU,1683974334
462,mogocha,53.7333,119.7667,10.58,55,100,3.35,RU,1683974335
463,doue-la-fontaine,47.1937,-0.2749,15.8,73,78,4.36,FR,1683974336
464,shizuishan,39.2333,106.7694,27.06,7,98,7.53,CN,1683974337
465,nova vicosa,-17.8919,-39.3719,23.7,87,100,3.02,BR,1683974339
466,darwin,-12.4611,130.8418,25.99,74,0,2.06,AU,1683974340
467,a coruna,43.3713,-8.396,15.5,76,75,4.47,ES,1683974341
468,wad rawah,15.1603,33.1397,43.43,4,5,7.67,SD,1683974342
469,maridi,4.9158,29.4742,33.45,41,81,1.74,SS,1683974343
470,sassandra,4.95,-6.0833,30.16,69,68,2.25,CI,1683974344
471,kruisfontein,-34.0033,24.7314,12.86,87,100,2.57,ZA,1683974346
472,mianwali,32.5741,71.5264,40.61,9,59,0.25,PK,1683974347
473,gaimersheim,48.807,11.368,11.95,76,75,3.6,DE,1683974348
474,ingeniero jacobacci,-41.3427,-69.5448,8.09,90,100,2.55,AR,1683974349
475,geraldton,-28.7667,114.6,18.23,68,40,4.12,AU,1683974351
476,sao borja,-28.6606,-56.0044,8.86,87,2,2.01,BR,1683974352
477,gloucester point,37.254,-76.4969,20.55,74,75,5.14,US,1683974353
478,katutura,-22.521,17.0557,25.5,25,53,0.89,NA,1683974354
479,pontes e lacerda,-15.2261,-59.3353,18.61,88,89,1.3,BR,1683974357
480,nizhneangarsk,55.7833,109.55,2.21,74,82,1.58,RU,1683974358
481,peniche,39.3558,-9.3811,21.83,50,0,7.32,PT,1683974360
482,bogo,11.0517,124.0055,27.68,74,24,2.93,PH,1683974361
483,ksar el boukhari,35.8889,2.7491,17.63,61,33,7.02,DZ,1683974362
484,payakumbuh,-0.2202,100.6308,24.9,92,89,0.81,ID,1683974365
485,tralee,52.2704,-9.7026,18.14,63,0,1.03,IE,1683974367
486,osakarovka,50.565,72.5692,20.3,54,89,12.9,KZ,1683974370
487,santiago de cao,-7.9589,-79.2392,22.07,88,100,2.06,PE,1683974372
488,nizhnevartovsk,60.9344,76.5531,9.01,25,0,3.13,RU,1683974373
489,santa isabel,-23.3156,-46.2214,14.42,82,92,1.47,BR,1683974374
490,ayancik,41.9447,34.5861,14.37,79,55,6.83,TR,1683974375
491,duba,27.3513,35.6901,29.41,44,0,9.06,SA,1683974377
492,tara,56.8944,74.371,12.62,28,82,4.36,RU,1683974378
493,tilcara,-23.5776,-65.3509,6.54,29,0,3.05,AR,1683974379
494,island harbour,50.724,-1.2758,16.68,77,36,3.13,GB,1683974380
495,luena,-11.7833,19.9167,25.1,36,73,4.12,AO,1683974381
496,tabou,4.423,-7.3528,29.57,73,98,2.64,CI,1683974383
497,muscat,23.6139,58.5922,42.01,40,0,4.6,OM,1683974384
498,lerwick,60.1545,-1.1494,10.0,85,100,5.51,GB,1683974385
499,ghanzi,-21.5667,21.7833,29.48,18,5,6.08,BW,1683974386
500,forster,-32.1667,152.5167,12.43,100,2,1.02,AU,1683974387
501,vizinga,61.0749,50.1031,8.54,91,100,2.16,RU,1683974388
502,nyaunglebin,17.95,96.7333,27.88,81,97,5.62,MM,1683974390
503,hanover,52.3705,9.7332,22.21,51,0,5.66,DE,1683974391
504,polyarnyy,69.1989,33.4478,5.59,96,100,4.49,RU,1683974392
505,dakoro,14.5106,6.765,39.1,8,77,3.08,NE,1683974393
506,port blair,11.6667,92.75,29.66,80,100,9.78,IN,1683974292
507,shanhaiguan,39.9988,119.7564,15.16,75,68,2.67,CN,1683974395
508,vakarai,55.6035,23.8213,22.29,47,28,3.28,LT,1683974396
509,el calafate,-50.3408,-72.2768,3.21,88,100,1.69,AR,1683974398
510,akureyri,65.6835,-18.0878,8.96,49,20,5.14,IS,1683974399
511,naze,28.3667,129.4833,21.51,77,100,5.99,JP,1683974400
512,dipayal,29.2608,80.94,36.31,13,2,2.73,NP,1683974342
513,prince rupert,54.3161,-130.3201,11.05,93,100,10.29,CA,1683974402
514,paradip garh,20.3167,86.6167,29.84,69,82,8.08,IN,1683974403
515,rongelap,11.1635,166.8941,27.55,82,31,7.71,MH,1683974405
516,banfora,10.6333,-4.7667,36.16,35,91,3.01,BF,1683974406
517,zelenogorskiy,55.0333,87.0,8.33,25,15,3.41,RU,1683974407
518,galesong,-5.3166,119.3661,27.14,82,33,4.33,ID,1683974408
519,bhimunipatnam,17.8833,83.4333,34.73,62,89,7.98,IN,1683974410
520,ust'-ilimsk,58.0006,102.6619,4.45,39,100,4.9,RU,1683974275
521,primorsk,46.7348,36.3443,17.04,59,98,5.59,UA,1683974412
522,kayyerkan,69.3786,87.7439,-8.72,85,99,6.88,RU,1683974413
523,kati,12.7441,-8.0726,32.67,29,98,5.14,ML,1683974415
524,songea,-10.6833,35.65,23.64,64,75,1.54,TZ,1683974416
525,punaauia,-17.6333,-149.6,24.8,83,0,1.34,PF,1683974417
526,arawa,-6.2132,155.5367,25.26,94,100,1.79,PG,1683974419
527,leh,34.1667,77.5833,11.22,25,92,2.73,IN,1683974263
528,rio grande,-32.035,-52.0986,11.06,76,69,3.23,BR,1683974422
529,shimanovsk,52.0,127.7,10.34,34,64,1.27,RU,1683974423
530,yichang,30.7144,111.2847,24.78,62,100,1.29,CN,1683974425
531,mil'kovo,55.6078,37.7956,22.22,31,79,5.06,RU,1683974426
532,franklin,39.9667,-83.0166,19.47,98,100,2.06,US,1683974301
533,rio negrinho,-26.2544,-49.5183,11.63,83,97,1.05,BR,1683974429
534,senanga,-16.1167,23.2667,30.91,18,69,2.68,ZM,1683974430
535,ukholovo,53.7929,40.4892,20.77,37,10,4.81,RU,1683974431
536,jalai nur,49.45,117.7,17.36,20,9,7.88,CN,1683974433
537,san sebastian de la gomera,28.0916,-17.1133,24.53,68,20,3.09,ES,1683974434
538,kargil,34.5667,76.1,6.25,50,100,3.44,IN,1683974248
539,martinho campos,-19.3317,-45.2369,17.9,73,18,2.0,BR,1683974436
540,hinton,53.4001,-117.5857,8.95,66,30,2.18,CA,1683974253
541,villa gesell,-37.2639,-56.973,7.81,88,92,2.51,AR,1683974440
542,labe,11.3182,-12.2833,29.96,42,100,1.42,GN,1683974441
